회수,단어,빈도수
제303회[정례회](2021.11.01 ~ 2021.12.27),부모,34.0
제303회[정례회](2021.11.01 ~ 2021.12.27),이기,73.0
제303회[정례회](2021.11.01 ~ 2021.12.27),이동,4.0
제303회[정례회](2021.11.01 ~ 2021.12.27),방해,5.0
제303회[정례회](2021.11.01 ~ 2021.12.27),사법,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),한창,2.0
제303회[정례회](2021.11.01 ~ 2021.12.27),시위,7.0
제303회[정례회](2021.11.01 ~ 2021.12.27),미래학,14.0
제303회[정례회](2021.11.01 ~ 2021.12.27),교가,18.0
제303회[정례회](2021.11.01 ~ 2021.12.27),먼지,15.0
제303회[정례회](2021.11.01 ~ 2021.12.27),편지,3.0
제303회[정례회](2021.11.01 ~ 2021.12.27),폭력,43.0
제303회[정례회](2021.11.01 ~ 2021.12.27),환경보호,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),법률,45.0
제303회[정례회](2021.11.01 ~ 2021.12.27),유해,5.0
제303회[정례회](2021.11.01 ~ 2021.12.27),혐오시설,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),불법,6.0
제303회[정례회](2021.11.01 ~ 2021.12.27),부착물,2.0
제303회[정례회](2021.11.01 ~ 2021.12.27),정말,64.0
제303회[정례회](2021.11.01 ~ 2021.12.27),그게,166.0
제303회[정례회](2021.11.01 ~ 2021.12.27),법적,47.0
제303회[정례회](2021.11.01 ~ 2021.12.27),주체,23.0
제303회[정례회](2021.11.01 ~ 2021.12.27),삼위일체,2.0
제303회[정례회](2021.11.01 ~ 2021.12.27),올바로,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),가야,24.0
제303회[정례회](2021.11.01 ~ 2021.12.27),개진,5.0
제303회[정례회](2021.11.01 ~ 2021.12.27),객관,10.0
제303회[정례회](2021.11.01 ~ 2021.12.27),관철,3.0
제303회[정례회](2021.11.01 ~ 2021.12.27),개축,82.0
제303회[정례회](2021.11.01 ~ 2021.12.27),계세,36.0
제303회[정례회](2021.11.01 ~ 2021.12.27),개입,16.0
제303회[정례회](2021.11.01 ~ 2021.12.27),조만간,3.0
