회수,단어,빈도수
제290회[정례회] (2019.11.01 ~ 2019.12.20),개척,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),패러다임,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),자부,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),학폭법,8.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),개정안,4.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),학교폭력,69.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),애정,4.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),소망,6.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),몸살,2.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),그로,10.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),교육활동,37.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),위축,4.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),사기,6.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),저하,15.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),바탕,7.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),보완,34.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),정교,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),전념,5.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),둘째,6.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),정의,22.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),차등,7.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),질적,12.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),심화,6.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),도모,12.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),달라,112.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),기조,4.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),자의,12.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),개별,60.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),의무교육,8.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),검정고시,7.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),응시,3.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),명의,66.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),복귀,17.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),영위,2.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),최소한,51.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),적성,7.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),보람,4.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),나래,19.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),개교,46.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),등교,35.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),표정,2.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),정식,7.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),배려,16.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),무상급식,19.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),무상교육,13.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),출발,15.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),보편,18.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),복지,32.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),마중,3.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),물이,12.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),선의,8.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),불평등,9.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),투명,11.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),학교법인,8.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),법정,35.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),통한,28.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),입금,2.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),책무,19.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),고하,11.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),공적,9.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),교복,2.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),화의,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),일요일,29.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),휴무,59.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),숙의,4.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),입시,47.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),사교육,17.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),합리,31.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),타개,2.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),부작용,5.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),제화,2.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),대추,2.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),태풍,3.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),천둥,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),벼락,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),무서리,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),땡볕,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),초승달,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),저절로,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),리도,2.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),성숙,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),완성,12.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),조력자,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),격려,5.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),결실,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),막중,3.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),책임감,6.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),식견,2.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),지혜,6.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),자양,5.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),자세,12.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),경청,3.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),수고,238.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),원님,12.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),국별,2.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),이내,31.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),양민,68.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),영등포,6.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),선거구,16.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),운동장,28.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),지하,3.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),주차장,17.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),교회,2.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),인센티브,8.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),전혀,130.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),움직,8.0
