회수,발언자,발언수,위원구분
제277회[정례회] (2017.11.01 ~ 2017.12.20),교육연수원장 이종배,29,교육청
제277회[정례회] (2017.11.01 ~ 2017.12.20),대변인 이상수,26,교육청
제277회[정례회] (2017.11.01 ~ 2017.12.20),민주시민교육과장 임세훈,25,교육청
제277회[정례회] (2017.11.01 ~ 2017.12.20),김진수 위원,24,위원
제277회[정례회] (2017.11.01 ~ 2017.12.20),중부교육지원청교육지원국장 유재준,22,교육청
제277회[정례회] (2017.11.01 ~ 2017.12.20),서부교육지원청교육장 이용환,21,교육청
제277회[정례회] (2017.11.01 ~ 2017.12.20),학생교육원장 김시영,21,교육청
제277회[정례회] (2017.11.01 ~ 2017.12.20),동부교육지원청교육장 윤석명,20,교육청
제277회[정례회] (2017.11.01 ~ 2017.12.20),교육혁신과장 전병화,19,교육청
제277회[정례회] (2017.11.01 ~ 2017.12.20),과학전시관장 김선주,16,교육청
제277회[정례회] (2017.11.01 ~ 2017.12.20),학교안전공제회사무국장 이무수,16,교육청
제277회[정례회] (2017.11.01 ~ 2017.12.20),예산담당관 황현택,15,교육청
제277회[정례회] (2017.11.01 ~ 2017.12.20),강동송파교육지원청교육장 김병혁,12,교육청
제277회[정례회] (2017.11.01 ~ 2017.12.20),마포평생학습관장 이연주,12,교육청
제277회[정례회] (2017.11.01 ~ 2017.12.20),북부교육지원청교육장 정인순,10,교육청
제277회[정례회] (2017.11.01 ~ 2017.12.20),학교보건진흥원장 박연선,10,교육청
제277회[정례회] (2017.11.01 ~ 2017.12.20),영등포평생학습관장 김석일,9,교육청
제277회[정례회] (2017.11.01 ~ 2017.12.20),직무감사팀장 임영식,8,교육청
제277회[정례회] (2017.11.01 ~ 2017.12.20),교육정보화과장 이숙자,7,교육청
제277회[정례회] (2017.11.01 ~ 2017.12.20),송파도서관장 김선희,7,교육청
제277회[정례회] (2017.11.01 ~ 2017.12.20),행정관리담당관 정재헌,7,교육청
제277회[정례회] (2017.11.01 ~ 2017.12.20),성동광진교육지원청교육장 김수득,7,교육청
제277회[정례회] (2017.11.01 ~ 2017.12.20),학생체육관장 김재숙,7,교육청
제277회[정례회] (2017.11.01 ~ 2017.12.20),서대문도서관장 민정숙,5,교육청
제277회[정례회] (2017.11.01 ~ 2017.12.20),강서양천교육지원청행정지원국장 조원익,3,교육청
제277회[정례회] (2017.11.01 ~ 2017.12.20),정책ㆍ안전기획관 이강태,3,교육청
제277회[정례회] (2017.11.01 ~ 2017.12.20),강동송파교육지원청행정지원국장 안은용,3,교육청
제277회[정례회] (2017.11.01 ~ 2017.12.20),강서양천교육지원청교육장 김광선,1,교육청
제303회[정례회](2021.11.01 ~ 2021.12.27),부교육감 김규태,549,교육청
제303회[정례회](2021.11.01 ~ 2021.12.27),교육행정국장 이병호,535,교육청
제303회[정례회](2021.11.01 ~ 2021.12.27),황인구 위원,408,위원
제303회[정례회](2021.11.01 ~ 2021.12.27),이동현 위원,362,위원
제303회[정례회](2021.11.01 ~ 2021.12.27),이호대 위원,345,위원
제303회[정례회](2021.11.01 ~ 2021.12.27),양민규 위원,305,위원
제303회[정례회](2021.11.01 ~ 2021.12.27),권순선 위원,302,위원
제303회[정례회](2021.11.01 ~ 2021.12.27),평생진로교육국장 함혜성,289,교육청
제303회[정례회](2021.11.01 ~ 2021.12.27),문영민 위원,224,위원
제303회[정례회](2021.11.01 ~ 2021.12.27),김용연 위원,281,위원
제303회[정례회](2021.11.01 ~ 2021.12.27),교육정책국장 고효선,199,교육청
제303회[정례회](2021.11.01 ~ 2021.12.27),김생환 위원,184,위원
제303회[정례회](2021.11.01 ~ 2021.12.27),기획조정실장 최승복,177,교육청
제303회[정례회](2021.11.01 ~ 2021.12.27),이석주 위원,163,위원
제303회[정례회](2021.11.01 ~ 2021.12.27),위원장 최기찬,147,위원
제303회[정례회](2021.11.01 ~ 2021.12.27),김상진 위원,144,위원
제303회[정례회](2021.11.01 ~ 2021.12.27),전병주 위원,223,위원
제303회[정례회](2021.11.01 ~ 2021.12.27),김수규 위원,122,위원
제303회[정례회](2021.11.01 ~ 2021.12.27),학교보건진흥원장 임영식,119,교육청
제303회[정례회](2021.11.01 ~ 2021.12.27),교육시설안전과장 이용식,92,교육청
제303회[정례회](2021.11.01 ~ 2021.12.27),민주시민생활교육과장 백해룡,76,교육청
제303회[정례회](2021.11.01 ~ 2021.12.27),유아교육과장 오필순,75,교육청
제303회[정례회](2021.11.01 ~ 2021.12.27),체육건강문화예술과장 오정훈,72,교육청
제303회[정례회](2021.11.01 ~ 2021.12.27),감사관 이민종,71,교육청
제303회[정례회](2021.11.01 ~ 2021.12.27),진로직업교육과장 이조복,66,교육청
제303회[정례회](2021.11.01 ~ 2021.12.27),교육재정과장 조성래,65,교육청
제303회[정례회](2021.11.01 ~ 2021.12.27),총무과장 최웅장,64,교육청
제303회[정례회](2021.11.01 ~ 2021.12.27),학교안전공제회이사장 김형배,58,교육청
제303회[정례회](2021.11.01 ~ 2021.12.27),학교지원과장 고영갑,47,교육청
제303회[정례회](2021.11.01 ~ 2021.12.27),교육시설관리본부장 김재환,44,교육청
제303회[정례회](2021.11.01 ~ 2021.12.27),교육연구정보원장 백미원,32,교육청
제303회[정례회](2021.11.01 ~ 2021.12.27),대변인 성현석,29,교육청
제303회[정례회](2021.11.01 ~ 2021.12.27),평생교육과장 김덕희,24,교육청
제303회[정례회](2021.11.01 ~ 2021.12.27),학생체육관장 최선희,22,교육청
제303회[정례회](2021.11.01 ~ 2021.12.27),학생교육원장 이종탁,20,교육청
제303회[정례회](2021.11.01 ~ 2021.12.27),초등교육과장 강연실,17,교육청
제303회[정례회](2021.11.01 ~ 2021.12.27),정독도서관장 이길환,16,교육청
제303회[정례회](2021.11.01 ~ 2021.12.27),과학전시관장 김연배,10,교육청
제303회[정례회](2021.11.01 ~ 2021.12.27),강서도서관장 이명하,10,교육청
제303회[정례회](2021.11.01 ~ 2021.12.27),중등교육과장 안윤호,10,교육청
제303회[정례회](2021.11.01 ~ 2021.12.27),정책ㆍ안전기획관 한만중,10,교육청
제303회[정례회](2021.11.01 ~ 2021.12.27),유아교육진흥원장 강경숙,9,교육청
제303회[정례회](2021.11.01 ~ 2021.12.27),학교안정공제회사무국장 한창화,8,교육청
제303회[정례회](2021.11.01 ~ 2021.12.27),동부교육지원청장 서경수,7,교육청
제303회[정례회](2021.11.01 ~ 2021.12.27),마포평생학습관장 김원식,4,교육청
제303회[정례회](2021.11.01 ~ 2021.12.27),교육연수원장 송형세,3,교육청
제303회[정례회](2021.11.01 ~ 2021.12.27),강남서초교육지원청장 조영상,1,교육청
