회의록구분,대수,회의구분,위원회,회수,피감사기관,회의일자,발언자,발언순번,발언내용,기관구분
서울특별시의회 회의록,9대,행정사무감사,교육위원회,제277회[정례회] (2017.11.01 ~ 2017.12.20),"교육행정국, 교육시설관리본부, 학교안전공제회(2)",2017.11.07 화요일,김동욱 위원,3705,"유념하고 염두에 둘 것이 아니라 이런 문제를 가지고 시도를 해 볼 필요가 있는 거예요, 의견을 모아 방법을 만들어서. 지금 여기뿐만 아니라 어린이집도 마찬가지였어요, 제가 보건복지위에 있을 때. 거기도 형제자매 다 들어가 있고 이런 문제인데 내부에서 제보하지 않으면 할 수가 없어요. 그러면 정상화를 하려면 어떻게 해야 되느냐, 양심 있는 사람들이 있을 거라고요. 먹고 사는 게, 여기서 이 나쁜 것을 제보하면 잘리는데 누가 하겠어요, 그냥 참고 가는 거지. 그러면 과감하게 아까 얘기했듯이 공립학교로 취업을 시켜주든지 대책들을 강구해서 제보를 하고 정상화시키려고 노력도 하고, 이런 부분에 대한 고민들이 필요한 부분들인데 여러 가지 이유 들어서 하면 다음 10대 때 교육위원회에서 똑같이 이런 얘기가 나올 거예요. 어렵지만 국장님, 감사관님, 어떻게 하실 건지만 한번 들을게요. 저는 지금 우리 사회가 변하려면 이런 부분들에 대해서 정리를 하나씩 하나씩 해 가야 된다고 보고 있어요, 학교가. 고스란히 우리 예산 줘서 학교 운영하는데 학생들을 위해서 학교를 운영해야지 어른들 잔치하고 어른들 먹거리만 만들어 내고 이런 게 되겠습니까, 이게? 내가 야단치려고 한 것은 아니고, 다만 한 가지는 대안들을 고민하자는 거지요.",위원
서울특별시의회 회의록,9대,행정사무감사,교육위원회,제277회[정례회] (2017.11.01 ~ 2017.12.20),"교육행정국, 교육시설관리본부, 학교안전공제회(2)",2017.11.07 화요일,감사관 이민종,3706,지적하신 것 명심하고 계속 그 부분은 의견을 모으고 준비하겠습니다. 저희가 생각을 하고 있는 것이 없는 것은 아닌데 구체적으로 준비된 부분이 위원님 보시기에 부족하다고 판단하신 것 같고요. 그 부분 저희가 보완해서 노력을 하겠습니다.,감사관
서울특별시의회 회의록,9대,행정사무감사,교육위원회,제277회[정례회] (2017.11.01 ~ 2017.12.20),"교육행정국, 교육시설관리본부, 학교안전공제회(2)",2017.11.07 화요일,김동욱 위원,3707,"예를 들어서 제가 그런 문제를 얘기하면 그것은 이렇게 어렵습니다 내지는 따로 해서, 다 하실 거예요. 놀지는 않으실 거라고 봐요. 어느 논의구조든 일을 하고 계시겠지만 그래도 새롭게, 이것은 학교뿐만 아니라 전반적인 것입니다. 시설 쪽도 한번 내가 그러려고 얘기를 건네 보려고 하는데 그렇기 때문에 어떤 방법들을 찾아보자, 학생회 자치활동도 강화해 보고, 그러면 학생들은 잘합니다. 그런 어떤 대안들을 만들어서 내놔야지 그냥 우물쭈물하고 있다가 넘어가고 넘어가고……. 이상입니다.",위원
서울특별시의회 회의록,9대,행정사무감사,교육위원회,제277회[정례회] (2017.11.01 ~ 2017.12.20),"교육행정국, 교육시설관리본부, 학교안전공제회(2)",2017.11.07 화요일,위원장 김생환,3708,수고 많으셨습니다. 송재형 부위원장님 질의하시기 바랍니다.,위원장
서울특별시의회 회의록,9대,행정사무감사,교육위원회,제277회[정례회] (2017.11.01 ~ 2017.12.20),"교육행정국, 교육시설관리본부, 학교안전공제회(2)",2017.11.07 화요일,송재형 위원,3709,한 5분만 쓰겠습니다. 송재형 위원입니다. 거기서 답해도 괜찮아요. 사실확인만 몇 가지 하겠습니다. 법인 행정실장과 학교 행정실장 두 가지를 다 맡는다면 사실 학교장이나 이사장과의 관계는 굉장히 가깝지 않으면 채용하지 않거든요. 증인께서는 학교 행정실장으로 오기 전에 어떤 일을 하셨어요?,위원
서울특별시의회 회의록,9대,행정사무감사,교육위원회,제277회[정례회] (2017.11.01 ~ 2017.12.20),"교육행정국, 교육시설관리본부, 학교안전공제회(2)",2017.11.07 화요일,서울미술고등학교행정실장 정호영,3710,"저는 교육단체에서 일을 한 10년 정도 했습니다, 교육 NGO에서.",서울미술고등학교행정실장
서울특별시의회 회의록,9대,행정사무감사,교육위원회,제277회[정례회] (2017.11.01 ~ 2017.12.20),"교육행정국, 교육시설관리본부, 학교안전공제회(2)",2017.11.07 화요일,송재형 위원,3711,회계도 할 줄 아시니까 한 겁니까?,위원
서울특별시의회 회의록,9대,행정사무감사,교육위원회,제277회[정례회] (2017.11.01 ~ 2017.12.20),"교육행정국, 교육시설관리본부, 학교안전공제회(2)",2017.11.07 화요일,서울미술고등학교행정실장 정호영,3712,"네, 왜냐하면 거기서 그 업무도 했기 때문에 학교 사정을 좀 많이 알지요. 학교를 제가 NGO에 있으면서…….",서울미술고등학교행정실장
서울특별시의회 회의록,9대,행정사무감사,교육위원회,제277회[정례회] (2017.11.01 ~ 2017.12.20),"교육행정국, 교육시설관리본부, 학교안전공제회(2)",2017.11.07 화요일,송재형 위원,3713,본인은 스카우트돼서 온 건가요?,위원
서울특별시의회 회의록,9대,행정사무감사,교육위원회,제277회[정례회] (2017.11.01 ~ 2017.12.20),"교육행정국, 교육시설관리본부, 학교안전공제회(2)",2017.11.07 화요일,서울미술고등학교행정실장 정호영,3714,여러 가지를 통해서 온 것으로 알고 있습니다.,서울미술고등학교행정실장
