회수,단어,빈도수
제277회[정례회] (2017.11.01 ~ 2017.12.20),패널,21
제277회[정례회] (2017.11.01 ~ 2017.12.20),교육재정,20
제277회[정례회] (2017.11.01 ~ 2017.12.20),만들기,20
제277회[정례회] (2017.11.01 ~ 2017.12.20),용이,20
제277회[정례회] (2017.11.01 ~ 2017.12.20),배분,20
제277회[정례회] (2017.11.01 ~ 2017.12.20),창업,20
제277회[정례회] (2017.11.01 ~ 2017.12.20),본부장,20
제277회[정례회] (2017.11.01 ~ 2017.12.20),분도,20
제277회[정례회] (2017.11.01 ~ 2017.12.20),상대로,20
제277회[정례회] (2017.11.01 ~ 2017.12.20),가까이,20
제277회[정례회] (2017.11.01 ~ 2017.12.20),점점,20
제277회[정례회] (2017.11.01 ~ 2017.12.20),무조건,20
제277회[정례회] (2017.11.01 ~ 2017.12.20),통상,20
제277회[정례회] (2017.11.01 ~ 2017.12.20),갑자기,20
제277회[정례회] (2017.11.01 ~ 2017.12.20),개년,20
제277회[정례회] (2017.11.01 ~ 2017.12.20),연도,20
제277회[정례회] (2017.11.01 ~ 2017.12.20),휴가,20
제277회[정례회] (2017.11.01 ~ 2017.12.20),수치,20
제277회[정례회] (2017.11.01 ~ 2017.12.20),보전,20
제277회[정례회] (2017.11.01 ~ 2017.12.20),요강,20
제277회[정례회] (2017.11.01 ~ 2017.12.20),정년,20
제277회[정례회] (2017.11.01 ~ 2017.12.20),이의,20
제277회[정례회] (2017.11.01 ~ 2017.12.20),안녕하십니까,20
제277회[정례회] (2017.11.01 ~ 2017.12.20),실음,20
제277회[정례회] (2017.11.01 ~ 2017.12.20),캠프,20
제277회[정례회] (2017.11.01 ~ 2017.12.20),부모,20
제277회[정례회] (2017.11.01 ~ 2017.12.20),어차피,20
제277회[정례회] (2017.11.01 ~ 2017.12.20),세입,20
제277회[정례회] (2017.11.01 ~ 2017.12.20),모델링,20
제277회[정례회] (2017.11.01 ~ 2017.12.20),샌드위치,20
제277회[정례회] (2017.11.01 ~ 2017.12.20),경량,20
제277회[정례회] (2017.11.01 ~ 2017.12.20),칸막이,20
제277회[정례회] (2017.11.01 ~ 2017.12.20),편차,20
제277회[정례회] (2017.11.01 ~ 2017.12.20),종사,20
제277회[정례회] (2017.11.01 ~ 2017.12.20),검찰,20
